Salesman Id,Salesman Fname,Salesman Lname,Salesman Email,Market,Region,Hire Date,Commission Rate
80,John,Wheeler,john.wheeler80@company.com,Europe,Northern Europe,2023-07-05,0.035
81,Robert,Silva,robert.silva81@company.com,Europe,Northern Europe,2022-09-28,0.054
82,Sarah,Harris,sarah.harris82@company.com,Europe,Northern Europe,2024-04-10,0.036
83,John,Foster,john.foster83@company.com,Europe,Northern Europe,2023-12-03,0.055
84,Kevin,Stewart,kevin.stewart84@company.com,Europe,Northern Europe,2024-07-22,0.074
85,Charles,Ellis,charles.ellis85@company.com,Europe,Northern Europe,2026-07-05,0.044
86,Wendy,Jones,wendy.jones86@company.com,Europe,Southern Europe,2020-04-16,0.033
87,Joseph,Mahoney,joseph.mahoney87@company.com,Europe,Southern Europe,2025-07-30,0.08
88,Natasha,Wood,natasha.wood88@company.com,Europe,Southern Europe,2019-11-08,0.051
89,Martha,Warner,martha.warner89@company.com,Europe,Southern Europe,2023-06-12,0.025
90,Vanessa,Valdez,vanessa.valdez90@company.com,Europe,Southern Europe,2018-08-31,0.023
91,Lisa,Evans,lisa.evans91@company.com,Europe,Southern Europe,2023-11-09,0.027
92,Sheila,Taylor,sheila.taylor92@company.com,Europe,Southern Europe,2019-07-08,0.058
93,Daniel,Tran,daniel.tran93@company.com,Europe,Southern Europe,2020-10-04,0.068
94,Cassandra,Robbins,cassandra.robbins94@company.com,Europe,Southern Europe,2020-03-19,0.045
95,Cynthia,Baker,cynthia.baker95@company.com,Europe,Southern Europe,2022-06-21,0.024
96,Rebecca,Mathis,rebecca.mathis96@company.com,Europe,Southern Europe,2019-05-02,0.043
97,Rodney,Hill,rodney.hill97@company.com,Europe,Southern Europe,2018-08-19,0.08
98,Kellie,Walsh,kellie.walsh98@company.com,Europe,Southern Europe,2020-09-04,0.052
99,Joyce,Arnold,joyce.arnold99@company.com,Europe,Southern Europe,2021-12-27,0.078
100,Alec,Jones,alec.jones100@company.com,Europe,Southern Europe,2025-08-05,0.072
101,Rebecca,Gardner,rebecca.gardner101@company.com,Europe,Southern Europe,2025-03-18,0.021
102,Brandi,Hernandez,brandi.hernandez102@company.com,Europe,Southern Europe,2019-08-12,0.063
103,Kyle,Nolan,kyle.nolan103@company.com,Europe,Southern Europe,2024-11-27,0.061
104,Michelle,Nolan,michelle.nolan104@company.com,Europe,Southern Europe,2020-04-07,0.052
105,John,Garcia,john.garcia105@company.com,Europe,Southern Europe,2024-10-12,0.036
106,Nicole,Russell,nicole.russell106@company.com,Europe,Southern Europe,2023-07-08,0.058
107,Eric,Spears,eric.spears107@company.com,Europe,Southern Europe,2025-06-13,0.027
108,Theresa,Cochran,theresa.cochran108@company.com,Europe,Southern Europe,2025-08-01,0.046
109,Angel,Doyle,angel.doyle109@company.com,Europe,Southern Europe,2021-03-26,0.047
110,Sarah,Pham,sarah.pham110@company.com,Europe,Southern Europe,2025-06-11,0.077
111,Lisa,Adams,lisa.adams111@company.com,Europe,Southern Europe,2024-11-02,0.073
112,Daniel,Brennan,daniel.brennan112@company.com,Europe,Southern Europe,2025-05-27,0.036
113,Jeffrey,Velasquez,jeffrey.velasquez113@company.com,Europe,Southern Europe,2022-04-01,0.05
114,Kevin,Pope,kevin.pope114@company.com,Europe,Southern Europe,2020-05-28,0.031
115,Andrew,Lee,andrew.lee115@company.com,Europe,Southern Europe,2021-03-15,0.075
116,Michelle,Rasmussen,michelle.rasmussen116@company.com,Europe,Southern Europe,2020-10-24,0.072
117,Darlene,Ross,darlene.ross117@company.com,Europe,Western Europe,2026-05-16,0.038
118,Amanda,Crosby,amanda.crosby118@company.com,Europe,Western Europe,2019-07-08,0.058
119,Tara,White,tara.white119@company.com,Europe,Western Europe,2026-03-23,0.057
120,Joseph,Rodriguez,joseph.rodriguez120@company.com,Europe,Western Europe,2022-01-16,0.029
121,Jessica,Edwards,jessica.edwards121@company.com,Europe,Western Europe,2023-05-28,0.066
122,William,Cruz,william.cruz122@company.com,Europe,Western Europe,2023-03-03,0.052
123,Jonathan,Fletcher,jonathan.fletcher123@company.com,Europe,Western Europe,2018-08-13,0.067
124,Sara,Ryan,sara.ryan124@company.com,Europe,Western Europe,2024-04-19,0.052
125,Judy,Lambert,judy.lambert125@company.com,Europe,Western Europe,2021-06-27,0.02
126,Chad,Beck,chad.beck126@company.com,Europe,Western Europe,2021-03-20,0.039
127,Lee,Charles,lee.charles127@company.com,Europe,Western Europe,2024-04-20,0.021
128,Kevin,Parker,kevin.parker128@company.com,Europe,Western Europe,2021-11-02,0.076
129,Richard,Phillips,richard.phillips129@company.com,Europe,Western Europe,2019-08-12,0.073
130,Robert,Bentley,robert.bentley130@company.com,Europe,Western Europe,2023-12-19,0.07
131,Raven,Gilbert,raven.gilbert131@company.com,Europe,Western Europe,2020-12-26,0.038
132,Amy,Smith,amy.smith132@company.com,Europe,Western Europe,2020-11-15,0.023
133,Russell,Carpenter,russell.carpenter133@company.com,Europe,Western Europe,2023-10-15,0.073
134,Steven,Ramos,steven.ramos134@company.com,Europe,Western Europe,2020-04-18,0.077
135,Thomas,Santana,thomas.santana135@company.com,Europe,Western Europe,2024-11-27,0.025
136,Gene,Miller,gene.miller136@company.com,Europe,Western Europe,2022-09-07,0.049
137,Cynthia,Rogers,cynthia.rogers137@company.com,Europe,Western Europe,2025-01-30,0.024
138,Karen,Chambers,karen.chambers138@company.com,Europe,Western Europe,2020-05-19,0.066
139,James,Johnson,james.johnson139@company.com,Europe,Western Europe,2020-07-17,0.066
140,Thomas,Atkinson,thomas.atkinson140@company.com,Europe,Western Europe,2019-03-07,0.028
141,Robert,Soto,robert.soto141@company.com,Europe,Western Europe,2020-02-22,0.049
142,Heather,Snyder,heather.snyder142@company.com,Europe,Western Europe,2020-07-14,0.053
143,Diana,Smith,diana.smith143@company.com,Europe,Western Europe,2024-07-19,0.036
144,Kayla,Rodriguez,kayla.rodriguez144@company.com,Europe,Western Europe,2021-12-20,0.072
145,Gregory,Rubio,gregory.rubio145@company.com,Europe,Western Europe,2022-09-14,0.045
146,Brent,Wright,brent.wright146@company.com,Europe,Western Europe,2025-04-27,0.033
147,Stephen,Solis,stephen.solis147@company.com,Europe,Western Europe,2023-11-21,0.052
148,Vanessa,Larson,vanessa.larson148@company.com,Europe,Western Europe,2026-02-15,0.064
149,Patricia,Salazar,patricia.salazar149@company.com,Europe,Western Europe,2024-04-19,0.032
150,William,Rivas,william.rivas150@company.com,Europe,Western Europe,2022-12-10,0.039
151,Phyllis,Manning,phyllis.manning151@company.com,Europe,Western Europe,2022-05-12,0.08
152,Jonathon,Wright,jonathon.wright152@company.com,Europe,Western Europe,2023-08-27,0.059
153,Katie,Boyd,katie.boyd153@company.com,Europe,Western Europe,2023-07-26,0.046
154,Joshua,Jones,joshua.jones154@company.com,Europe,Western Europe,2020-11-12,0.051
155,Joseph,Flores,joseph.flores155@company.com,Europe,Western Europe,2022-11-18,0.027
156,Devon,Hall,devon.hall156@company.com,Europe,Western Europe,2024-02-05,0.033
157,Jasmine,Brown,jasmine.brown157@company.com,Europe,Western Europe,2021-10-30,0.04
158,Amy,Perry,amy.perry158@company.com,Europe,Western Europe,2020-03-29,0.055
159,Robert,Stein,robert.stein159@company.com,Europe,Western Europe,2023-03-25,0.034
160,Heather,Gates,heather.gates160@company.com,Europe,Western Europe,2024-08-31,0.033
161,Omar,Smith,omar.smith161@company.com,Europe,Western Europe,2021-05-22,0.024
162,Karen,Castaneda,karen.castaneda162@company.com,Europe,Western Europe,2026-02-25,0.058
163,Robert,Adkins,robert.adkins163@company.com,Europe,Western Europe,2022-12-05,0.034
164,Carrie,Walker,carrie.walker164@company.com,Europe,Western Europe,2020-05-04,0.074
165,Ryan,Johnson,ryan.johnson165@company.com,Europe,Western Europe,2021-04-07,0.072
166,Erin,Powell,erin.powell166@company.com,Europe,Western Europe,2019-11-29,0.024
167,Tanner,Anderson,tanner.anderson167@company.com,Europe,Western Europe,2023-07-13,0.034
168,Anthony,Long,anthony.long168@company.com,Europe,Western Europe,2023-01-27,0.06
169,Anthony,Day,anthony.day169@company.com,Europe,Western Europe,2019-09-05,0.033
170,Steven,Williams,steven.williams170@company.com,Europe,Western Europe,2021-08-09,0.028
171,Jason,Murphy,jason.murphy171@company.com,Europe,Western Europe,2024-08-18,0.076
172,Nicholas,Walton,nicholas.walton172@company.com,Europe,Western Europe,2025-03-10,0.054
173,Johnny,Miller,johnny.miller173@company.com,Europe,Western Europe,2018-10-04,0.048
174,Amber,Cooke,amber.cooke174@company.com,Europe,Western Europe,2021-05-17,0.067
175,Debra,Harrington,debra.harrington175@company.com,Europe,Western Europe,2023-10-06,0.068
176,Karen,Herring,karen.herring176@company.com,Europe,Western Europe,2020-03-07,0.031
177,Andrew,Hernandez,andrew.hernandez177@company.com,Europe,Western Europe,2019-08-09,0.026
178,Elizabeth,Elliott,elizabeth.elliott178@company.com,Europe,Western Europe,2020-04-30,0.046
179,Holly,Wang,holly.wang179@company.com,Europe,Western Europe,2019-12-07,0.045
180,Catherine,Adkins,catherine.adkins180@company.com,Europe,Western Europe,2019-07-06,0.048
181,Lori,Oconnell,lori.oconnell181@company.com,Europe,Western Europe,2019-06-17,0.064
182,Anthony,Collins,anthony.collins182@company.com,Europe,Western Europe,2023-12-19,0.06
183,Susan,Sanders,susan.sanders183@company.com,Europe,Western Europe,2024-04-06,0.079
184,Charles,Vaughn,charles.vaughn184@company.com,Europe,Western Europe,2023-07-27,0.026
185,Curtis,Barton,curtis.barton185@company.com,Europe,Western Europe,2025-05-03,0.044
186,Caroline,Martinez,caroline.martinez186@company.com,Europe,Western Europe,2026-05-24,0.04
187,Kimberly,Reed,kimberly.reed187@company.com,Europe,Western Europe,2021-12-29,0.072
188,Mitchell,Hunter,mitchell.hunter188@company.com,Europe,Western Europe,2021-04-21,0.035
189,Melissa,Short,melissa.short189@company.com,Europe,Western Europe,2019-06-10,0.031
190,Susan,Reid,susan.reid190@company.com,Europe,Western Europe,2025-03-01,0.047
191,Jasmine,Graham,jasmine.graham191@company.com,Europe,Western Europe,2024-05-31,0.045
192,Tammy,Nelson,tammy.nelson192@company.com,Europe,Western Europe,2025-01-01,0.037
193,Amanda,Webb,amanda.webb193@company.com,Europe,Western Europe,2022-01-19,0.035
194,Jessica,Adams,jessica.adams194@company.com,Europe,Western Europe,2025-05-07,0.075
195,Mariah,Miller,mariah.miller195@company.com,Europe,Western Europe,2025-08-01,0.047
196,John,Marshall,john.marshall196@company.com,Europe,Western Europe,2023-06-09,0.072
197,Nicholas,Johnson,nicholas.johnson197@company.com,Europe,Western Europe,2025-05-04,0.053
198,Hunter,Lewis,hunter.lewis198@company.com,Europe,Western Europe,2024-12-02,0.023
199,Matthew,Beard,matthew.beard199@company.com,Europe,Western Europe,2024-02-26,0.08
200,Joshua,Smith,joshua.smith200@company.com,Europe,Western Europe,2026-02-09,0.07
201,Christopher,Cortez,christopher.cortez201@company.com,Europe,Western Europe,2022-06-21,0.078
202,Katherine,Vaughn,katherine.vaughn202@company.com,Europe,Western Europe,2023-09-19,0.076
203,Travis,Mcguire,travis.mcguire203@company.com,Europe,Western Europe,2019-05-05,0.071
204,Jeffrey,Holt,jeffrey.holt204@company.com,Europe,Western Europe,2021-01-10,0.03
205,Bonnie,Kennedy,bonnie.kennedy205@company.com,Europe,Western Europe,2022-10-22,0.049
206,Ronald,Reese,ronald.reese206@company.com,Europe,Western Europe,2021-03-22,0.033
207,Jacqueline,Nelson,jacqueline.nelson207@company.com,LATAM,Caribbean,2020-08-05,0.044
208,David,Lee,david.lee208@company.com,LATAM,Caribbean,2019-07-20,0.024
209,Amanda,Gill,amanda.gill209@company.com,LATAM,Caribbean,2020-01-26,0.043
210,Javier,Washington,javier.washington210@company.com,LATAM,Caribbean,2024-05-04,0.079
211,Tiffany,Warren,tiffany.warren211@company.com,LATAM,Caribbean,2020-11-04,0.036
212,Craig,Lee,craig.lee212@company.com,LATAM,Caribbean,2020-05-27,0.067
213,Harry,Smith,harry.smith213@company.com,LATAM,Caribbean,2022-10-31,0.047
214,Joshua,Mccann,joshua.mccann214@company.com,LATAM,Caribbean,2022-12-26,0.045
215,Heidi,Martinez,heidi.martinez215@company.com,LATAM,Caribbean,2025-06-24,0.077
216,Travis,Salas,travis.salas216@company.com,LATAM,Caribbean,2023-02-24,0.08
217,Taylor,Alexander,taylor.alexander217@company.com,LATAM,Caribbean,2020-01-24,0.053
218,Brett,Everett,brett.everett218@company.com,LATAM,Caribbean,2022-05-21,0.063
219,Lynn,Morales,lynn.morales219@company.com,LATAM,Caribbean,2019-03-11,0.029
220,Crystal,Brown,crystal.brown220@company.com,LATAM,Caribbean,2019-10-14,0.038
221,Anna,Torres,anna.torres221@company.com,LATAM,Caribbean,2026-06-22,0.078
222,David,Duran,david.duran222@company.com,LATAM,Caribbean,2023-05-28,0.055
223,Krystal,Perez,krystal.perez223@company.com,LATAM,Caribbean,2022-09-28,0.053
224,Shannon,Ramos,shannon.ramos224@company.com,LATAM,Caribbean,2025-05-31,0.065
225,Veronica,Torres,veronica.torres225@company.com,LATAM,Caribbean,2023-07-10,0.023
226,Chelsea,Singh,chelsea.singh226@company.com,LATAM,Caribbean,2026-02-08,0.055
227,Jared,Clark,jared.clark227@company.com,LATAM,Caribbean,2023-10-31,0.05
228,Eric,Thompson,eric.thompson228@company.com,LATAM,Caribbean,2019-03-14,0.071
229,Aaron,Hayes,aaron.hayes229@company.com,LATAM,Caribbean,2023-04-22,0.029
230,Kelly,Hall,kelly.hall230@company.com,LATAM,Caribbean,2024-03-14,0.078
231,Jacqueline,Gibson,jacqueline.gibson231@company.com,LATAM,Caribbean,2024-01-17,0.025
232,Sandra,French,sandra.french232@company.com,LATAM,Caribbean,2023-07-21,0.031
233,Donna,Peck,donna.peck233@company.com,LATAM,Caribbean,2021-12-20,0.056
234,Amy,Holland,amy.holland234@company.com,LATAM,Caribbean,2025-10-18,0.061
235,Margaret,Jones,margaret.jones235@company.com,LATAM,Central America,2019-12-01,0.034
236,Kyle,Curry,kyle.curry236@company.com,LATAM,Central America,2023-02-10,0.027
237,Keith,Martinez,keith.martinez237@company.com,LATAM,Central America,2024-01-21,0.073
238,Holly,Bender,holly.bender238@company.com,LATAM,Central America,2022-07-26,0.035
239,Troy,Miller,troy.miller239@company.com,LATAM,Central America,2018-12-02,0.056
240,Ryan,Morris,ryan.morris240@company.com,LATAM,Central America,2020-08-02,0.057
241,Christopher,Hayden,christopher.hayden241@company.com,LATAM,Central America,2025-03-22,0.045
242,Barbara,Sampson,barbara.sampson242@company.com,LATAM,Central America,2026-07-08,0.055
243,Emily,Adams,emily.adams243@company.com,LATAM,Central America,2018-12-03,0.051
244,Katelyn,Ruiz,katelyn.ruiz244@company.com,LATAM,Central America,2023-10-06,0.076
245,Sabrina,White,sabrina.white245@company.com,LATAM,Central America,2023-03-28,0.032
246,Cynthia,Vasquez,cynthia.vasquez246@company.com,LATAM,Central America,2019-04-29,0.063
247,Michael,Cook,michael.cook247@company.com,LATAM,Central America,2023-11-29,0.034
248,Mia,Rivera,mia.rivera248@company.com,LATAM,Central America,2024-02-05,0.044
249,Keith,Landry,keith.landry249@company.com,LATAM,Central America,2025-01-16,0.06
250,Andrea,Gibson,andrea.gibson250@company.com,LATAM,Central America,2021-02-03,0.038
251,Marcus,Cordova,marcus.cordova251@company.com,LATAM,Central America,2021-10-20,0.039
252,Xavier,Travis,xavier.travis252@company.com,LATAM,Central America,2023-10-23,0.065
253,Amy,Gutierrez,amy.gutierrez253@company.com,LATAM,Central America,2020-02-02,0.024
254,Michael,Avila,michael.avila254@company.com,LATAM,Central America,2023-07-22,0.047
255,Kathleen,Harris,kathleen.harris255@company.com,LATAM,Central America,2022-12-14,0.08
256,Sara,Kim,sara.kim256@company.com,LATAM,Central America,2024-02-18,0.08
257,David,Dudley,david.dudley257@company.com,LATAM,Central America,2023-06-04,0.024
258,John,Moore,john.moore258@company.com,LATAM,Central America,2022-12-19,0.033
259,Andrea,Davis,andrea.davis259@company.com,LATAM,Central America,2026-06-17,0.036
260,Robin,Murray,robin.murray260@company.com,LATAM,Central America,2019-07-14,0.076
261,Marilyn,Jimenez,marilyn.jimenez261@company.com,LATAM,Central America,2024-04-11,0.073
262,William,Hill,william.hill262@company.com,LATAM,Central America,2025-03-19,0.073
263,Tina,Sanchez,tina.sanchez263@company.com,LATAM,Central America,2022-12-20,0.042
264,Patrick,Weeks,patrick.weeks264@company.com,LATAM,Central America,2022-08-17,0.029
265,Natasha,Shields,natasha.shields265@company.com,LATAM,Central America,2020-10-15,0.07
266,Kristy,Perry,kristy.perry266@company.com,LATAM,Central America,2025-12-31,0.062
267,William,Hoover,william.hoover267@company.com,LATAM,Central America,2020-11-03,0.057
268,Kenneth,Matthews,kenneth.matthews268@company.com,LATAM,Central America,2026-07-06,0.079
269,Tracy,Hernandez,tracy.hernandez269@company.com,LATAM,Central America,2022-11-13,0.059
270,Michael,Arnold,michael.arnold270@company.com,LATAM,Central America,2022-11-27,0.02
271,Stanley,Morris,stanley.morris271@company.com,LATAM,Central America,2020-02-05,0.069
272,Heidi,Armstrong,heidi.armstrong272@company.com,LATAM,Central America,2020-06-14,0.038
273,Kimberly,Williams,kimberly.williams273@company.com,LATAM,Central America,2024-07-01,0.06
274,Janet,Shepherd,janet.shepherd274@company.com,LATAM,Central America,2021-08-29,0.076
275,Elizabeth,Hoover,elizabeth.hoover275@company.com,LATAM,Central America,2026-05-15,0.028
276,Tyler,Johnson,tyler.johnson276@company.com,LATAM,Central America,2022-07-31,0.027
277,Brittany,Kane,brittany.kane277@company.com,LATAM,Central America,2025-07-11,0.026
278,Scott,Fox,scott.fox278@company.com,LATAM,Central America,2022-03-22,0.053
279,Jennifer,Ortiz,jennifer.ortiz279@company.com,LATAM,Central America,2023-10-15,0.036
280,Eric,Harrison,eric.harrison280@company.com,LATAM,Central America,2026-04-11,0.056
281,Matthew,Schwartz,matthew.schwartz281@company.com,LATAM,Central America,2023-10-01,0.063
282,Melissa,Phelps,melissa.phelps282@company.com,LATAM,Central America,2025-05-29,0.032
283,Norman,Stewart,norman.stewart283@company.com,LATAM,Central America,2024-04-17,0.058
284,Katherine,Brennan,katherine.brennan284@company.com,LATAM,Central America,2018-11-20,0.036
285,Casey,Welch,casey.welch285@company.com,LATAM,Central America,2025-11-23,0.049
286,Wendy,Francis,wendy.francis286@company.com,LATAM,Central America,2022-01-15,0.074
287,Corey,Schultz,corey.schultz287@company.com,LATAM,Central America,2025-07-06,0.071
288,Scott,Benson,scott.benson288@company.com,LATAM,Central America,2025-10-03,0.026
289,Brandon,Flynn,brandon.flynn289@company.com,LATAM,Central America,2020-12-04,0.045
290,Nicholas,Thomas,nicholas.thomas290@company.com,LATAM,Central America,2022-10-23,0.037
291,Ashlee,Sparks,ashlee.sparks291@company.com,LATAM,Central America,2019-12-13,0.02
292,Christian,Pitts,christian.pitts292@company.com,LATAM,Central America,2023-07-06,0.066
293,John,Durham,john.durham293@company.com,LATAM,Central America,2019-09-26,0.058
294,Steven,King,steven.king294@company.com,LATAM,Central America,2020-08-16,0.036
295,Albert,Ballard,albert.ballard295@company.com,LATAM,Central America,2025-09-27,0.064
296,Erica,Moore,erica.moore296@company.com,LATAM,Central America,2022-02-06,0.053
297,Michael,Matthews,michael.matthews297@company.com,LATAM,Central America,2023-08-30,0.046
298,Roger,Wright,roger.wright298@company.com,LATAM,Central America,2025-04-18,0.021
299,James,Cruz,james.cruz299@company.com,LATAM,Central America,2022-06-06,0.025
300,John,Armstrong,john.armstrong300@company.com,LATAM,Central America,2023-02-26,0.073
301,Victoria,Phillips,victoria.phillips301@company.com,LATAM,Central America,2026-05-07,0.074
302,Dominique,Hill,dominique.hill302@company.com,LATAM,Central America,2023-01-31,0.053
303,Gina,Garner,gina.garner303@company.com,LATAM,Central America,2018-12-28,0.07
304,Catherine,Crawford,catherine.crawford304@company.com,LATAM,Central America,2025-10-05,0.055
305,Justin,Lindsey,justin.lindsey305@company.com,LATAM,Central America,2023-05-30,0.029
306,Michael,Fields,michael.fields306@company.com,LATAM,Central America,2023-07-09,0.028
307,Erica,Le,erica.le307@company.com,LATAM,Central America,2023-10-28,0.038
308,Mary,Fuller,mary.fuller308@company.com,LATAM,Central America,2025-10-03,0.074
309,Debbie,Parker,debbie.parker309@company.com,LATAM,Central America,2022-02-03,0.068
310,Bethany,Oconnor,bethany.oconnor310@company.com,LATAM,Central America,2019-04-26,0.072
311,Kenneth,Burgess,kenneth.burgess311@company.com,LATAM,Central America,2019-12-29,0.074
